Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID;;;;;;;;;;;;;;;;
"Yu, X., Xing, S., Yang, Y.,""59483162900";55584305000;59138549900;",The relationship between psychological capital and athlete burnout: the mediating relationship of coping strategies and the moderating relationship of perceived stress"",2025,""BMC Psychology"",""13"",""1"",""64"","""","""",,,""10.1186/s40359-025-02379-8"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216717704&doi=10.1186%2fs40359-025-02379-8&partnerID=40&md5=a6a301f57aa70758a9c1b6c71b9a512a"",Article,""Final"","""",Scopus,2-s2.0-85216717704";;;;;;;;;;;;;
"Zhang, Y., Xu, F., Chen, L., Yuan, Y., Evans, J., Bettencourt, L., Li, Y.,""57222652999";57051858100;57225044750;57219665580;34770162000;7003549424;57189401839;",Counterfactual mobility network embedding reveals prevalent accessibility gaps in U.S. cities"",2024,""Humanities and Social Sciences Communications"",""11"",""1"",""87"","""","""",,2,""10.1057/s41599-023-02570-5"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181922628&doi=10.1057%2fs41599-023-02570-5&partnerID=40&md5=11d5de240c1556faabbd424af3f54f1f"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85181922628";;;;;;;;;
"Chen, C.-Y., Lin, Y.-H., Shih, M.-T., Yeh, T.-Y.,""35101680600";35215779900;59442484800;59441948600;",Effect of Green Value Cocreation on Consumer Behavior: A Professional Baseball Franchise’s “Sustainable Party” Event"",2024,""Behavioral Sciences"",""14"",""11"",""1050"","""","""",,,""10.3390/bs14111050"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210424779&doi=10.3390%2fbs14111050&partnerID=40&md5=140163157df105fecd35b3b5b923c5d5"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85210424779";;;;;;;;;;;;
"Minami, S., Koyama, H., Watanabe, K., Saijo, N., Kashino, M.,""56581285200";59228845000;56877964900;57201190088;6603785760;",Prediction of esports competition outcomes using EEG data from expert players"",2024,""Computers in Human Behavior"",""160"",,""108351"","""","""",,,""10.1016/j.chb.2024.108351"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199254953&doi=10.1016%2fj.chb.2024.108351&partnerID=40&md5=7f21f7e18857256a575e09acc84d96a7"",Article,""Final"","""",Scopus,2-s2.0-85199254953";;;;;;;;;;;
"Alonso Pérez-Chao, E., Nieto-Acevedo, R., Scanlan, A.T., Martin-Castellanos, A., Lorenzo, A., Gómez, M.Á.,""57216199215";58161924800;25927577400;57926479100;16031814900;55729107500;",Home-Court Advantage is Greater for Teams Competing at Higher Playing Levels: An Exploratory Analysis of Spanish Male Basketball Leagues"",2024,""Perceptual and Motor Skills"",""131"",""5"",,""1708"",""1719"",,1,""10.1177/00315125241262124"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196644491&doi=10.1177%2f00315125241262124&partnerID=40&md5=d366f907f3181c1033e4b12317d3680b"",Article,""Final"","""",Scopus,2-s2.0-85196644491";;;;;;;;;;
"Rodrigues, M.M., De Sá Teixeira, N.,""58641452100";25824188900;",Motion extrapolation in sport expertise: Representational momentum and representational gravity in volleyball athletes"",2024,""Cognition"",""250"",,""105869"","""","""",,,""10.1016/j.cognition.2024.105869"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197542361&doi=10.1016%2fj.cognition.2024.105869&partnerID=40&md5=697d646975523b6eb37c4b4b06a11507"",Article,""Final"",""All Open Access, Hybrid Gold, Green"",Scopus,2-s2.0-85197542361";;;;;;;;;;;;;;
"Mesagno, C., Hammond, A.A., Goodyear, M.A.,""25925243700";59131916400;59131916500;",An initial investigation into the mental health difficulties in athletes who experience choking under pressure"",2024,""Psychology of Sport and Exercise"",""74"",,""102663"","""","""",,1,""10.1016/j.psychsport.2024.102663"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193423853&doi=10.1016%2fj.psychsport.2024.102663&partnerID=40&md5=f1dfbcb3185b287598babf92f4025999"",Article,""Final"",""All Open Access, Hybrid Gold"",Scopus,2-s2.0-85193423853";;;;;;;;;;;;;
"Lee, D., Kang, S.,""57220091154";57188710509;",The Mental Game of Golf: Understanding Relationships Between Self-Efficacy, Fear of Failure, Competitive State Anxiety, and Flow"",2024,""Perceptual and Motor Skills"",""131"",""4"",,""1257"",""1273"",,1,""10.1177/00315125241250166"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192051846&doi=10.1177%2f00315125241250166&partnerID=40&md5=619960414fbacf738052098cddba8f9c"",Article,""Final"","""",Scopus,2-s2.0-85192051846";;;;;;;;;;;;;;
"Adhia, A., Ellyson, A.M., Mustafa, A., Conrick, K.M., Kroshus, E.,""56803926900";57204941122;57715341400;57209708611;25626691100;",Structural and Sport-related Barriers to Formally Reporting Sexual Violence Among Undergraduate Student-athletes"",2024,""Journal of Family Violence"",""39"",""5"",,""889"",""898"",,2,""10.1007/s10896-023-00564-0"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153201553&doi=10.1007%2fs10896-023-00564-0&partnerID=40&md5=a99c52c249aba3801fcf7901c9671495"",Article,""Final"","""",Scopus,2-s2.0-85153201553";;;;;;;;;;;
"Gorelová, D., Halama, P.,""59345644800";55906962800;",Big five personality correlates of woman basketball playersʼ efficiency"",2024,""Ceskoslovenska Psychologie"",""68"",""3"",,""241"",""254"",,,""10.51561/cspsych.68.3.241"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205134360&doi=10.51561%2fcspsych.68.3.241&partnerID=40&md5=bcdeb4eb022c786848436faa6ca55836"",Article,""Final"","""",Scopus,2-s2.0-85205134360";;;;;;;;;;;;;;
"Belousova, A., Gorshkova, S., Tushnova, Y.,""56785699200";59065488400;55967500400;",Basic Needs Satisfaction and Conscious Motives for Sports Activities of Juniors"",2024,""International Journal of Cognitive Research in Science, Engineering and Education"",""12"",""1"",,""201"",""207"",,,""10.23947/2334-8496-2024-12-1-201-207"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192363426&doi=10.23947%2f2334-8496-2024-12-1-201-207&partnerID=40&md5=0abc4ffb370824dd165bd3bf30d1e0e8"",Article,""Final"","""",Scopus,2-s2.0-85192363426";;;;;;;;;;;;;
"Chen, Z., Wang, X., Teng, Z., Liu, M., Liu, F., Huang, J., Liu, Z.,""57208343432";57829669800;57209196687;58080363700;57191595982;57191594644;57892102200;",Modifiable lifestyle factors influencing psychiatric disorders mediated by plasma proteins: A systemic Mendelian randomization study"",2024,""Journal of Affective Disorders"",""350"",,,""582"",""589"",,2,""10.1016/j.jad.2024.01.169"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183184313&doi=10.1016%2fj.jad.2024.01.169&partnerID=40&md5=e3c4eaf0a1b24e33a7526719b9d85274"",Article,""Final"",""All Open Access, Hybrid Gold"",Scopus,2-s2.0-85183184313";;;;;;;;;
"Turner, M., Belli, A., Castellani, R.J.,""56089280300";15055454800;7004306993;",Changes in Brain Structure and Function in a Multisport Cohort of Retired Female and Male Athletes, Many Years after Suffering a Concussion: Implications for Neuroplasticity and Neurodegenerative Disease Pathogenesis"",2024,""Journal of Alzheimer's Disease Reports"",""8"",""1"",,""501"",""516"",,1,""10.3233/ADR-240021"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188785461&doi=10.3233%2fADR-240021&partnerID=40&md5=f643e1c105745cb9073dce11176f4eb1"",Article,""Final"",""All Open Access, Gold, Green"",Scopus,2-s2.0-85188785461";;;;;;;;;;;;;
